t026r20w4fi01,1848
t026r21w4fi01,1863
t026r21w4fi02,1848
t026r22w4fi01,0
t027r20w4fi01,1848
t027r20w4fi02,1848
t027r21w4fi01,1854
t027r22w4fc01,0
t027r22w4fi02,1854
t027r22w4fi03,1848
t027r23w4fi01,1854
t027r24w4fi01,1854
t027r24w4fi03,1854
t027r24w4fm02,1854
t028r20w4fi01,1848
t028r20w4fi02,1848
t028r21w4fi01,1848
t028r22w4fc03,0
t028r22w4fc04,0
t028r22w4fi01,1856
t028r22w4fi02,1854
t028r23w4fc01,0
t028r23w4fd05,1997
t028r23w4fi02,1858
t028r23w4fi04,1848
t028r23w4fm03,1858
t028r24w4fi01,1854
t028r24w4fi03,1854
t028r24w4fm02,1854
t029r20w4fi01,1848
t029r20w4fi02,1848
t029r21w4fi01,1848
t029r22w4fi01,1856
t029r22w4fi02,1848
t029r23w4fi01,1854
t029r23w4fi02,1854
t029r24w4fc01,1876
t029r24w4fi02,1885
t029r24w4fi04,1856
t029r24w4fm03,1885
t030r20w4fi01,1848
t030r20w4fi02,1855
t030r20w4fl04,1963
t030r20w4fl05,1963
t030r20w4fm03,1855
t030r21w4fi01,1862
t030r22w4fi01,1856
t030r22w4fm02,1856
t030r23w4fi01,1848
t030r24w4fi01,1872
t030r24w4fi02,1854
t031r19w4fi01,1857
t031r20w4fi01,1848
t031r20w4fl03,1999
t031r20w4fm02,1848
t031r21w4fi01,1848
t031r21w4fl02,1959
t031r22w4fi01,1848
t031r22w4fm02,1848
t031r23w4fi01,1848
t031r24w4fi01,1848
t031r25w4fi01,1851
t032r19w4fi01,1857
t032r20w4fi01,1848
t032r20w4fi03,1848
t032r20w4fm02,1848
t032r21w4fi01,1848
t032r22w4fi01,1848
t032r23w4fi01,1855
t032r23w4fl02,1920
t032r24w4fi01,1855
t032r24w4fm02,1855
t032r25w4fi01,1883
t032r25w4fm02,1883
t032r26w4fi01,1851
t032r27w4fi01,1851
t032r28w4fi01,1851
t033r19w4fi01,1853
t033r19w4fi02,1853
t033r19w4fi03,1848
t033r19w4fl04,1951
t033r19w4fm05,1853
t033r20w4fi01,1848
t033r20w4fi03,1903
t033r20w4fl04,1903
t033r20w4fm02,1848
t033r21w4fi01,1849
t033r22w4fi01,1857
t033r22w4fm02,1857
t033r23w4fi01,1857
t033r24w4fi01,1888
t033r24w4fl02,1888
t033r25w4fi01,1855
t033r26w4fi01,1851
t033r27w4fi01,1851
t033r28w4fi01,1851
t033r29w4fi01,1851
t034r18w4fi01,1850
t034r18w4fi02,1848
t034r19w4fi01,1848
t034r19w4fi02,1848
t034r20w4fi01,1848
t034r20w4fl03,1889
t034r20w4fm02,1848
t034r21w4fi01,1849
t034r22w4fi01,1855
t034r22w4fm02,1855
t034r23w4fi01,1855
t034r24w4fi01,1855
t034r25w4fi01,1855
t034r26w4fi02,1889
t034r26w4fl01,1889
t034r27w4fi01,1855
t034r28w4fi01,1855
t034r29w4fi01,1851
t034r30w4fi01,1851
t034r30w4fl03,1982
t034r30w4fm02,1851
t035r19w4fi01,1850
t035r20w4fi01,1848
t035r21w4fi01,1849
t035r22w4fi01,1855
t035r23w4fi01,1855
t035r23w4fm02,1855
t035r24w4fi01,1854
t035r25w4fi01,1855
t035r26w4fi01,1855
t035r27w4fi01,1855
t035r28w4fi01,1855
t035r29w4fi01,1852
t035r30w4fi01,1851
t035r31w4fi02,1863
t035r31w4fl01,1982
t036r19w4fi01,1850
t036r20w4fi01,1849
t036r21w4fi01,1849
t036r22w4fi01,1855
t036r23w4fi01,1858
t036r24w4fi01,1858
t036r25w4fi01,1855
t036r26w4fi01,1855
t036r27w4fi01,1855
t036r28w4fi01,1855
t036r29w4fi01,1855
t036r30w4fi01,1852
t036r31w4fi01,1884
t037r20w4fi01,1851
t037r21w4fi01,1858
t037r22w4fi01,1858
t037r23w4fi01,1858
t037r24w4fi01,1858
t037r25w4fi01,1852
t037r26w4fi01,1852
t037r27w4fi01,1855
t037r28w4fi01,1855
t037r29w4fi01,1855
t037r30w4fi01,1852
t037r31w4fi01,1884
t038r19w4fi01,1854
t038r20w4fi01,1851
t038r21w4fi01,1851
t038r22w4fi01,1852
t038r23w4fi01,1856
t038r24w4fi01,1856
t038r25w4fi01,1852
t038r26w4fi01,1852
t038r27w4fi01,1852
t038r28w4fi01,1855
t038r29w4fi01,1855
t038r30w4fi01,1852
t038r31w4fi01,1852
t038r32w4fi01,1852
t039r19w4fi01,1854
t039r19w4fm02,1854
t039r20w4fi01,1851
t039r21w4fi01,1851
t039r22w4fi01,1852
t039r22w4fl02,1922
t039r23w4fi01,1856
t039r24w4fi01,1856
t039r24w4fl02,1959
t039r25w4fi01,1856
t039r26w4fi01,1852
t039r27w4fi01,1852
t039r28w4fi01,1852
t039r29w4fi01,1855
t039r30w4fi01,1855
t039r31w4fi01,1852
t039r32w4fi01,1852
t039r32w4fi02,1852
t040r17w4fi01,1862
t040r18w4fi01,1854
t040r19w4fi01,1854
t040r19w4fi02,0
t040r20w4fi01,1851
t040r20w4fi02,1860
t040r21w4fi01,1852
t040r22w4fi01,1852
t040r23w4fi01,1852
t040r24w4fi01,1856
t040r25w4fi01,1856
t040r26w4fi01,1852
t040r27w4fi01,1852
t040r28w4fi01,1852
t040r29w4fi01,1855
t040r30w4fi01,1855
t040r31w4fi01,1852
t040r32w4fi01,1852
t040r32w4fi02,1852
t040r32w4fl03,1950
t041r16w4fi01,1854
t041r16w4fs02,1925
t041r17w4fi02,1854
t041r17w4fs01,1925
t041r18w4fi01,1854
t041r19w4fi01,1856
t041r20w4fi01,1851
t041r21w4fi01,1855
t041r22w4fi01,1856
t041r23w4fi01,1852
t041r24w4fi01,1856
t041r25w4fi01,1858
t041r26w4fi01,1858
t041r27w4fi01,1859
t041r28w4fi01,1856
t041r29w4fi01,1856
t041r30w4fi01,1856
t041r31w4fi01,1852
t041r32w4fi01,1882
t041r32w4fi02,1885
t042r15w4fi01,1860
t042r15w4fs02,1922
t042r16w4fi01,1860
t042r17w4fi01,1854
t042r17w4fl02,1927
t042r18w4fi01,1854
t042r19w4fi01,1856
t042r20w4fi01,1851
t042r21w4fi01,1856
t042r22w4fi01,1856
t042r23w4fi01,1852
t042r24w4fi01,1856
t042r25w4fi01,1870
t042r25w4fl03,1924
t042r25w4fl04,1902
t042r25w4fl05,1927
t042r25w4fs02,1925
t042r26w4fi01,1876
t042r26w4fl02,1917
t042r27w4fd02,1982
t042r27w4fi01,1870
t042r28w4fi01,1859
t042r28w4fl03,1927
t042r28w4fs02,1924
t042r29w4fi01,1856
t042r30w4fi01,1859
t042r31w4fi01,1852
t042r32w4fi01,1852
t042r32w4fl03,1940
t042r32w4fm02,1852
t043r15w4fi01,1860
t043r16w4fi01,1860
t043r17w4fi01,1860
t043r18w4fi01,1867
t043r19w4fi01,1863
t043r20w4fi01,1864
t043r21w4fi01,1864
t043r22w4fi01,1864
t043r23w4fi01,1865
t043r24w4fi01,1858
t043r24w4fs02,1925
t043r25w4fi01,1858
t043r25w4fl02,1917
t043r25w4fl03,1926
t043r25w4fl04,1928
t043r27w4fd02,1977
t043r27w4fd06,1982
t043r27w4fd07,1982
t043r27w4fd08,1977
t043r27w4fi01,1903
t043r27w4fl04,1902
t043r27w4fs03,1925
t043r27w4fs05,1925
t043r28w4fi01,1859
t043r28w4fl02,1925
t043r29w4fi01,1857
t043r30w4fi01,1857
t043r31w4fi01,1857
t043r32w4fi01,1857
t043r32w4fi02,1880
t043r32w4fl04,1958
t043r32w4fl05,1958
t043r32w4fs03,1922
t044r15w4fi01,1860
t044r16w4fi01,1860
t044r17w4fi01,1860
t044r18w4fi01,1867
t044r19w4fi01,1863
t044r20w4fi01,1864
t044r21w4fi01,1864
t044r22w4fi01,1872
t044r23w4fi01,1872
t044r24w4fi01,1861
t044r25w4fi01,1860
t044r27w4fi01,1859
